"MASTER","ENTIDAD","PRECIO","TIPOLOGIA","METODOLOGIA","DURACION","BOLSAEMP","TELEFONO","X4","X6","URLIMAGEN","NOMBREIMAGEN","WEB",
"Máster MBA en dirección de centros hidrotermales","SELECT BUSINESS SCHOOL","1940.0","Master","Semipresencial","Madrid","Sí",916358357,"Plantea tus dudas y otros usuarios podran responderte","['Contenido formativo', 'PARTE 1. GESTIÓN LABORAL Y SEGURIDAD SOCIAL I', 'MÓDULO 1. PROCESO DE FORMACIÓN DEL DERECHO DEL TRABAJO', 'MÓDULO 2. NEGOCIACIÓN COLECTIVA Y CONVENIOS COLECTIVOS', 'MÓDULO 3. INTRODUCCIÓN A LA SEGURIDAD SOCIAL', 'MÓDULO 4. CONTRATACIÓN LABORAL', 'MÓDULO 5. JORNADA, HORARIO E INTERRUPCIONES DEL TIEMPO DE TRABAJO', 'MÓDULO 6. SALARIO', 'MÓDULO 7. COTIZACIONES A LA SEGURIDAD SOCIAL Y NÓMINAS', ' ', 'PARTE 2. GESTIÓN LABORAL Y SEGURIDAD SOCIAL II', 'MÓDULO 8. VICISITUDES DEL CONTRATO DE TRABAJO', 'MÓDULO 9. EXTINCIÓN DEL CONTRATO DE TRABAJO', 'MÓDULO 10. PREVENCIÓN DE RIESGOS LABORALES I', 'MÓDULO 11. PREVENCIÓN DE RIESGOS LABORALES II', 'PARTE 3. CONTABILIDAD Y ANALÍTICA CONTABLE', 'MÓDULO 1. CONTABILIDAD', 'MÓDULO 2. HECHOS CONTABLES', 'MÓDULO 3. RESULTADO DE LA EMPRESA', 'MÓDULO 4. CONTABILIDAD DE GESTIÓN', 'MÓDULO 5. PGC Y LIBROS CONTABLES', 'MÓDULO 6. DOCUMENTACIÓN COMERCIAL', 'MÓDULO 7. ANÁLISIS DE LA CONTABILIDAD', 'PARTE 4. EXPERTO FISCAL', 'PARTE 5. RECURSOS HUMANOS, SOFT SKILLS Y COACHING I', 'MÓDULO 1. GESTIÓN DE LOS RECURSOS HUMANOS', 'MÓDULO 2. RECLUTAMIENTO Y SELECCIÓN DE PERSONAL', 'MÓDULO 3. FORMACIÓN EN LA EMPRESA', 'MÓDULO 4. COMUNICACIÓN EN LA EMPRESA', ' ', 'PARTE 6. RECURSOS HUMANOS, SOFT SKILLS Y COACHING II', 'MÓDULO 5. GESTIÓN DE PERSONAL Y HABILIDADES DIRECTIVAS', 'MÓDULO 6. SOFT SKILLS I', ' ', 'MÓDULO 7. SOFT SKILLS II', 'MÓDULO 8. COACHING EJECUTIVO', 'PARTE 7. MARKETING ESTRATÉGICO I', 'MODULO 1. PRINCIPIOS DEL MARKETING', 'MÓDULO 2. MARKETING MIX', 'MÓDULO 3. ANÁLISIS DEL ENTORNO', 'MÓDULO 4. ANÁLISIS DEL MERCADO', 'MÓDULO 5. ANÁLISIS DEL CONSUMIDOR', 'PARTE 8. MARKETING ESTRATÉGICO II', 'MÓDULO 6. APLICACIÓN DEL MARKETING', 'MÓDULO 7. MARKETING DIGITAL', 'MÓDULO 8. ELABORACIÓN DE UN PLAN DE MARKETING', 'MÓDULO 9. MEDICIÓN Y VALORACIÓN DE RESULTADOS I', 'MÓDULO 10. MEDICIÓN Y VALORACIÓN DE RESULTADOS II', 'PARTE 9. DIRECCIÓN Y GESTIÓN DE PYMES', 'MÓDULO 1. LA DIRECCIÓN ESTRATÉGICA DE LA EMPRESA', 'MÓDULO 2. GESTIÓN LABORAL Y RECURSOS HUMANOS', 'MÓDULO 3. GESTIÓN CONTABLE Y PREVENCIÓN DE RIESGOS LABORALES', 'MÓDULO 4. ADMINISTRACIÓN FISCAL']","https://www.emagister.com/assets/es/logos/centro/id/192308/size/l.png","['l.png']","https://www.emagister.com/master-mba-direccion-centros-hidrotermales-cursos-3572081.htm",
"Máster en Nutrición y Salud","ISEB - Instituto Superior Europeo de Barcelona","1250.0","Master","Online","12 Meses","Sin Datos",932824831,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/1138798/size/l.jpg","['l.jpg']","https://www.emagister.com/master-nutricion-salud-cursos-3693630.htm",
"Máster en Biotecnología de la Salud - Madrid","CESIF Formación","Precio a consultar","Master","Madrid","1840h","Sin Datos",912669065,"Plantea tus dudas y otros usuarios podran responderte","['SECTOR INDUSTRIAL EN BIOTECNOLOGIA DE LA SALUD', '', 'BIOTECNOLOGIA VERDE O AGROALIMENTARIA', ' ', 'BIOTECNOLOGÍA BLANCA O INDUSTRIA', 'MARKETING DE PRODUCTOS BIOFARMACÉUTICOS', 'GESTIÓN ECONÓMICA FINANCIERA', 'GESTIÓN COMERCIAL EN LA INDUSTRIA BIOFARMACÉUTICA', 'ECONOMÍA DE LA SALUD COMO FACTOR CLAVE DEL NEGOCIO BIOTECNOLÓGICO', 'DEPARTAMENTO MÉDICO: GESTIÓN DE I+D EN BIOTECNOLOGÍA', 'ENTORNO REGULATORIO Y PATENTES EN LA INDUSTRIA BIOTECNOLÓGICA DE LA SALUD', 'GESTIÓN TÉCNICA DE INDUSTRIAS BIOFARMACÉUTICAS', 'COMUNICACIÓN EMPRESARIAL Y RELACIONES INSTITUCIONALES', 'Relaciones Institucionales:', 'Gestión Hospitalaria y Empresas Biofarmacéuticas:', 'Comunicación a Clientes:', 'GESTIÓN DEL CAPITAL HUMANO', 'TRANSFERENCIA DE TECNOLOGÍAS Y CREACIÓN DE EMPRESAS', 'FUNDAMENTOS BIOTECNOLÓGICOS DE APLICACIÓN EN LA INDUSTRIA FARMACÉUTICA', 'NUEVAS ÁREAS DE INVESTIGACIÓN EN INDUSTRIA BIOTECNOLÓGICA DE LA SALUD']","https://www.emagister.com/assets/es/logos/centro/id/56155/size/l.jpg","['l.jpg']","https://www.emagister.com/master-biotecnologia-salud-madrid-cursos-3170196.htm",
"Máster Universitario en Nutrición y Salud","Universidad Internacional de Valencia (VIU)","Precio a consultar","Master oficial","Online","Sin Datos","Sin Datos",962642879,"El principal objetivo del Master Oficial Online en Nutricion y Salud es la especializacion de profesionales de la salud en alimentacion y nutricion  como herramienta clave para la prevencion y control de diversas enfermedades y la mejora del bienestar y capacidad funcional de los individuos   Llevaras a cabo el dise o y elaboracion de proyectos de educacion nutricional en distintos colectivos poblacionales  desarrollaras competencias psicologicas para promover la modificacion de la conducta alimentaria y analizaras la influencia de los avances en nutricion y alimentacion en la promocion de la salud  entre otros contenidos del programa   Podras realizar practicas externas presenciales y online y  ademas  recibiras una formacion adicional unica gracias a las masterclasses de expertos en nutricion reconocidos internacionalmente    Elige seguir con tu formacion en la Universidad Internacional de Valencia  la 1  Universidad Online en Ciencias de la salud      Ministerio de Educacion y FP  Informe Masteres Universidades privadas online 2020","[]","https://www.emagister.com/assets/es/logos/centro/id/124268/size/l.jpg","['l.jpg']","https://www.emagister.com/master-universitario-nutricion-salud-cursos-3006594.htm",
"Máster Profesional en Gestión Sanitaria","Cef - Centro de Estudios Financieros","5400.0","Master oficial","Online","Sin Datos","Sin Datos",912669065,"Si trabajas en el sector sanitario y quieres abrirte una puerta al futuro profesional  este postgrado en gestion sanitaria para profesionales en salud te sera de gran utilidad  Mejora tu situacion laboral con este master oficial en gestion sanitaria    Las necesidades y los recursos disponibles de los sistemas sanitarios exigen que estos se utilicen del mejor modo posible para conseguir los objetivos planteados  Para desarrollar una eficaz gestion sanitaria es necesario que el profesional al cargo disponga de las herramientas personales suficientes    El alumno de esta formacion desarrollara suficientes competencias en informatica aplicada a la gestion sanitaria  organizacion de sistemas sanitarios y reformas sanitarias  gestion presupuestaria  gestion de costes en el ambito sanitario  direccion de RR HH   gestion clinico financiera  sistemas de informacion y evaluacion en el ambito sanitario  bioetica  etcetera     Este curso a distancia de Master Profesional en Gestion Sanitaria esta pensado para licenciados o diplomados universitarios por lo que sera especialmente util para aquellos que se encuentren finalizando sus estudios o se encuentren trabajando y quieran darle un empujon a su carrera profesional","['Programa \n\n']","https://www.emagister.com/assets/es/logos/centro/id/2801/size/l.jpg","['l.jpg']","https://www.emagister.com/gestion-sanitaria-para-profesionales-salud-cursos-2801676.htm",
"MÁSTER EN SALUD MENTAL","Escuela de Postgrado de Psicología y Psiquiatría","595.0","Master","Online","600h","Sin Datos",973975855,"Documentos","['PARTE 1. SALUD MENTAL I', 'MÓDULO 1. INTRODUCCIÓN A LA SALUD MENTAL', 'MÓDULO 2. DETECCIÓN DEL MALESTAR MENTAL', 'MÓDULO 3. VALORACIÓN DEL ESTADO MENTAL', 'MÓDULO 4. INFLUENCIA DE LAS EMOCIONES EN LA CONDUCTA', 'PARTE 2. SALUD MENTAL II', 'MÓDULO 5. INCIDENCIA SOBRE EL INDIVIDUO', 'MÓDULO 6. INTERVENCIÓN PSICOLÓGICA EN TRASTORNOS DEPRESIVOS', 'MÓDULO 7. LEGISLACIÓN EN MATERIA DE SALUD MENTAL']","https://www.emagister.com/assets/es/logos/centro/id/1138567/size/l.jpg","['l.jpg']","https://www.emagister.com/master-salud-mental-cursos-3466528.htm",
"Máster en trabajo social en servicios de la salud y Máster en salud mental","ESCUELA CLÍNICA Y DE CIENCIAS DE LA SALUD","890.0","Master","Online","1500h","Sí",977973104,"Documentos","['TEMARIO:PARTE 1. TRABAJO SOCIAL EN SERVICIOS DE LA SALUD', 'PARTE 2. SALUD MENTAL I', 'Introducción.', 'Módulo 1. Introducción a la salud mental.', 'Módulo 2. Detección del malestar mental.', 'Módulo 3. Valoración del estado mental.', 'Módulo 4. Influencia de las emociones en la conducta.', 'Solucionario.', 'PARTE 3. SALUD MENTAL II', 'Módulo 5. Incidencia sobre el individuo.', 'Módulo 6. Intervención psicológica en trastornos depresivos.', 'Módulo 7. Legislación en materia de salud mental.', 'Solucionario.', 'Bibliografía.']","https://www.emagister.com/assets/es/logos/centro/id/1156805/size/l.jpg","['l.jpg']","https://www.emagister.com/master-trabajo-social-servicios-salud-master-salud-mental-cursos-3658125.htm",
"Máster en Nutrición y Salud - A distancia","ISEB - Instituto Superior Europeo de Barcelona","1250.0","Master","A distancia","12 Meses","Sin Datos",932824831,"Documentos","[]","https://www.emagister.com/assets/es/logos/centro/id/1138798/size/l.jpg","['l.jpg']","https://www.emagister.com/master-nutricion-salud-distancia-cursos-3693631.htm",
"Máster en Atención Temprana","Centro de Estudios de Psicología","3500.0","Master","Semipresencial","Flexible","Sin Datos","Sin Datos","ISEB   Instituto Superior Europeo de Barcelona","['PARTE 1. MÁSTER EN SALUD ', 'MENTAL EN EL ANCIANO ', 'MÓDULO 1. SALUD MENTAL Y ', 'PERSONALIDAD NORMAL', ' UNIDAD FORMATIVA 1. INTRODUCCIÓN AL ', 'ENVEJECIMIENTO ', 'UNIDAD DIDÁCTICA 1. EL ENVEJECIMIENTO ', 'UNIDAD DIDÁCTICA 2. CLASIFICACIÓN DE ', 'LOS ANCIANOS ', 'UNIDAD DIDÁCTICA 3. CAMBIOS EN EL ', 'ENVEJECIMIENTO: ENVEJECIMIENTO ', 'NORMAL, EL DETERIORO COGNITIVO Y LA ', 'DEMENCIA ', 'MÓDULO 2. SALUD MENTAL Y PATOLOGÍAS ', 'MÁS FRECUENTES EN EL ANCIANO ', 'UNIDAD DIDÁCTICA 4. LA SALUD MENTAL ', 'EN EL ANCIANO ', 'UNIDAD DIDÁCTICA 5. ENFERMEDAD DE ', 'ALZHEIMER ', 'UNIDAD DIDÁCTICA 6. ENFERMEDAD DE ', 'PARKINSON ', 'UNIDAD DIDÁCTICA 7. DETERIORO ', 'COGNITIVO VASCULAR Y DEGENERACIÓN ', 'FRONTOTEMPORAL ', 'UNIDAD DIDÁCTICA 8. DEMENCIA DE ', 'CUERPOS DE LEWY Y ENFERMEDAD DE ', 'HUNTINGTON ', 'MÓDULO 3. LA ESTIMULACIÓN COGNITIVA ', 'PARA ANCIANOS CON PROBLEMAS DE ', 'SALUD MENTAL: ENFERMEDADES ', 'NEURODEGENERATIVAS ', 'UNIDAD DIDÁCTICA 9. COGNICIÓN HUMANA ', 'EN LA VEJEZ ', 'UNIDAD DIDÁCTICA 10. ESTIMULACIÓN ', 'COGNITIVA DE LA PERCEPCIÓN Y ', 'CAPACIDADES ATENCIONALES EN', 'ENFERMEDADES NEURODEGENERATIVAS ', 'UNIDAD DIDÁCTICA 11. ESTIMULACIÓN ', 'COGNITIVA DE LA MEMORIA Y EL ', 'LENGUAJE EN ENFERMEDADES ', 'NEURODEGENERATIVAS ', 'UNIDAD DIDÁCTICA 12. ESTIMULACIÓN ', 'COGNITIVA DE LA ORIENTACIÓN ESPACIO ', 'TEMPORAL Y TRABAJO DE LOS ', 'PROBLEMAS MOTORES EN ', 'ENFERMEDADES NEURODEGENERATIVAS ', 'UNIDAD DIDÁCTICA 13. ESTIMULACIÓN ', 'COGNITIVA DE LAS FUNCIONES ', 'EJECUTIVAS, RAZONAMIENTO Y ', 'ACTIVIDADES DE LA VIDA DIARIA EN ', 'ENFERMEDADES NEURODEGENERATIVAS ', 'PARTE 2. MÁSTER EN LA ', 'ENFERMEDAD DEL ALZHEIMER ', 'MODULO 1. DEFINICIÓN DE ', 'ENVEJECIMIENTO. CONCEPTOS ', 'RELACIONADOS ', 'UNIDAD DIDÁCTICA 1. CONCEPTOS SOBRE ', 'ENVEJECIMIENTO Y SALUD ', 'UNIDAD DIDÁCTICA 2. ASPECTOS ', 'PSICOLÓGICOS Y FISIOLÓGICOS EN EL ', 'ENVEJECIMIENTO ', 'UNIDAD DIDÁCTICA 3. VALORACIÓN ', 'INTEGRAL DEL ANCIANO ', 'UNIDAD DIDÁCTICA 4. DIAGNÓSTICO DE ', 'LAS DEMENCIAS ', 'MODULO 2. INTERVENCIÓN EN LA ', 'ENFERMEDAD DE ALZHEIMER ', 'UNIDAD DIDÁCTICA 5. SINTOMATOLOGÍA ', 'CLÍNICA Y COGNITIVA EN LA ENFERMEDAD ', 'DE ALZHEIMER ', 'UNIDAD DIDÁCTICA 6.TRATAMIENTO: ', 'MEDIDAS GENERALES ', 'MODULO 3. ASPECTOS RELATIVOS AL ', 'CUIDADO DEL PACIENTE Y APOYO', 'FAMILIAR ', 'UNIDAD DIDÁCTICA 7. CUIDADOS AL ', 'PACIENTE ENFERMO DE ALZHEIMER ', 'UNIDAD DIDÁCTICA 8. EL PAPEL DEL ', 'CUIDADOR ', 'UNIDAD DIDÁCTICA 9. AYUDA Y APOYO A ', 'LOS FAMILIARES. GUÍA PARA FAMILIARES ', 'ANEXO A1. CASOS CLÍNICOS DE ', 'ALZHEIMER ']","https://www.emagister.com/assets/es/logos/centro/id/1147731/size/l.jpg","['l.jpg']","https://www.emagister.com/master-salud-mental-anciano-master-enfermedad-del-alzheimer-practicas-cursos-3544150.htm",
"Máster en Nutrición y Salud & Coaching, Gestión Emocional y Mindfulness - A distancia","ISEB - Instituto Superior Europeo de Barcelona","1650.0","Master","A distancia","18 Meses","Sin Datos",932824831,"Documentos","[]","https://www.emagister.com/assets/es/logos/centro/id/1138798/size/l.jpg","['l.jpg']","https://www.emagister.com/master-nutricion-salud-coaching-gestion-emocional-mindfulness-distancia-cursos-3693680.htm",
"Máster en dirección de centros médicos, clínicas y hospitales más máster en gerencia de la salud","ESNECA BUSINESS SCHOOL","890.0","Master","A distancia","600h","Sin Datos",973975855,"Documentos","['CONTENIDO FORMATIVO:', '-MÓDULO 1. CENTROS MÉDICOS, CLÍNICAS Y HOSPITALES', '-MÓDULO 2. GESTIÓN Y DIRECCIÓN DE LA CLÍNICA', '-MÓDULO 3. ORGANIZACIÓN EMPRESARIAL', '-MÓDULO 4. RECURSOS HUMANOS', '-MÓDULO 5. COMUNICACIÓN EMPRESARIAL', '-MÓDULO 6. RIESGOS LABORALES', '-MÓDULO 7. GESTIÓN DE LA LOGÍSTICA', '-MÓDULO 8. GESTIÓN DE LA CALIDAD EN EL CENTRO SANITARIO', '-MÓDULO 9. RELACIÓN CON EL PACIENTE', '-MÓDULO 10. DERECHOS EN EL ÁMBITO SANITARIO', '-MÓDULO 11. SOFTWARE DEL CENTRO MÉDICO']","https://www.emagister.com/assets/es/logos/centro/id/123469/size/l.jpg","['l.jpg']","https://www.emagister.com/master-direccion-centros-medicos-clinicas-hospitales-mas-master-gerencia-salud-cursos-3202586.htm",
"Máster en epidemiología y salud pública, actualizado Covid-19","ESCUELA CLÍNICA Y DE CIENCIAS DE LA SALUD","620.0","Master","Online","750h","Sí",977973104,"Documentos","['PARTE 1. EPIDEMIOLOGÍA Y SALUD PÚBLICA', ' ', 'UNIDAD DIDÁCTICA 1. CONCEPTO DE SALUD PÚBLICA Y SU EVOLUCIÓN', 'UNIDAD DIDÁCTICA 2. POLÍTICAS DE SALUD. GESTIÓN DE SERVICIOS SANITARIOS', '  ', 'UNIDAD DIDÁCTICA 3. DEMOGRAFÍA', ' ', 'UNIDAD DIDÁCTICA 4. EPIDEMIOLOGÍA I', ' ', 'UNIDAD DIDÁCTICA 5. EPIDEMIOLOGÍA II', ' ', 'UNIDAD DIDÁCTICA 6. EPIDEMIOLOGÍA EN ENFERMEDADES INFECCIOSAS', ' ', 'UNIDAD DIDÁCTICA 7. EPIDEMIOLOGÍA EN LAS PATOLOGÍAS', 'CARDIOVASCULARES', ' ', 'UNIDAD DIDÁCTICA 8. EPIDEMIOLOGÍA EN EL CÁNCER', ' ', 'UNIDAD DIDÁCTICA 9. EPIDEMIOLOGÍA EN LA OBESIDAD', ' ', 'UNIDAD DIDÁCTICA 10. EPIDEMIOLOGÍA EN LA DIABETES', ' ', 'UNIDAD DIDÁCTICA 11. EPIDEMIOLOGÍA EN PATOLOGÍAS RESPIRATORIAS', ' ', 'UNIDAD DIDÁCTICA 12. EPIDEMIOLOGÍA EN ETS', ' ', 'UNIDAD DIDÁCTICA 13. SALUD MEDIOAMBIENTAL', ' ', 'UNIDAD DIDÁCTICA 14. PROMOCIÓN DE LA SALUD', ' ', 'PARTE 2. CORONAVIRUS: MEDIDAS DE PREVENCIÓN', ' ']","https://www.emagister.com/assets/es/logos/centro/id/1156805/size/l.jpg","['l.jpg']","https://www.emagister.com/master-epidemiologia-salud-publica-actualizado-covid-19-cursos-3658147.htm",
"Máster en Nutrición y Salud & Máster en Coaching Deportivo","ISEB - Instituto Superior Europeo de Barcelona","1650.0","Master","Online","18 Meses","Sin Datos",932824831,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/1138798/size/l.jpg","['l.jpg']","https://www.emagister.com/master-nutricion-salud-master-coaching-deportivo-cursos-3693677.htm",
"Máster de formación permanente en salud pública","ENALDE BUSINESS SCHOOL","1970.0","Master","Online","12 Meses","Sin Datos",958050217,"Plantea tus dudas y otros usuarios podran responderte","['MÓDULO 1. EPIDEMIOLOGÍA Y SALUD PÚBLICA', 'MÓDULO 2. ENFERMEDADES INFECCIOSAS, VIRALES Y BACTERIANAS', 'MÓDULO 3. ENFERMEDADES TROPICALES INFECCIOSAS IMPORTADAS', 'MÓDULO 4. GESTIÓN SANITARIA', 'MÓDULO 5. PROTECCIÓN DE DATOS EN SANIDAD', 'MÓDULO 6. PROYECTO FIN DE MÁSTER']","https://www.emagister.com/assets/es/logos/centro/id/1168609/size/l.jpg","['l.jpg']","https://www.emagister.com/master-formacion-permanente-salud-publica-cursos-3735685.htm",
